# static_c=1_k=2_n=500_b=-0.08_p=0.9
#
# N1	aoic	stdev
0	-1.0368	0.000805991
5	-1.02784	0.00214265
10	-1.01586	0.0628272
15	-1.00661	0.0061543
20	-0.992521	0.0626581
25	-0.964455	0.174862
30	-0.900101	0.346661
35	-0.790868	0.517463
40	-0.630787	0.681299
45	-0.416722	0.81426
50	-0.102809	0.899706
55	0.300834	0.873367
60	0.58199	0.74587
65	0.787859	0.564166
70	0.929603	0.354758
75	0.978882	0.233937
80	1.00411	0.156213
85	1.0251	0.00653016
90	1.02912	0.00462865
95	1.03309	0.00346262
100	1.037	0.00350996
105	1.04094	0.00312117
110	1.04498	0.00206023
115	1.04858	0.00314837
120	1.05252	0.00236467
125	1.05633	0.00250319
130	1.06012	0.00216523
135	1.06394	0.00198503
140	1.06765	0.00209729
145	1.07133	0.00277976
150	1.07522	0.00210263
155	1.07889	0.00202605
160	1.08253	0.00182254
165	1.08614	0.0020979
170	1.08991	0.00180793
175	1.09358	0.00211696
180	1.09706	0.0023013
185	1.10078	0.00179073
190	1.10436	0.0017226
195	1.10787	0.0018001
200	1.11149	0.00169545
205	1.11512	0.00172121
210	1.1186	0.00175099
215	1.12214	0.00180989
220	1.12567	0.00183673
225	1.12925	0.00172911
230	1.13267	0.00174476
235	1.13618	0.00178799
240	1.13966	0.00163317
245	1.14299	0.00164936
250	1.14649	0.00166715
255	1.1499	0.00179394
260	1.1534	0.00161985
265	1.15676	0.00163257
270	1.16018	0.00160544
275	1.16354	0.00168708
280	1.1669	0.00157651
285	1.17026	0.001572
290	1.17368	0.00149943
295	1.17691	0.00149297
300	1.18026	0.00145588
