# static_c=1_k=2_n=100_b=-0.02_p=0.1
#
# N1	aoic	stdev
0	-0.265551	0.354709
1	-0.177165	0.344251
2	-0.0956121	0.326928
3	-0.00670492	0.333333
4	0.0602477	0.328312
5	0.150214	0.313011
6	0.188516	0.296834
7	0.2615	0.280754
8	0.329984	0.272928
9	0.386657	0.260305
10	0.430324	0.2523
11	0.489067	0.241018
12	0.554671	0.225457
13	0.579506	0.221694
14	0.612328	0.213221
15	0.659959	0.200488
16	0.692337	0.193225
17	0.720496	0.184806
18	0.762712	0.176545
19	0.788535	0.171095
20	0.810688	0.158066
21	0.822371	0.163189
22	0.862279	0.14354
23	0.872961	0.139219
24	0.898639	0.132614
25	0.915012	0.128943
26	0.935345	0.120639
27	0.947514	0.119402
28	0.962341	0.112266
29	0.979183	0.104054
30	0.989995	0.103454
31	1.0083	0.0963962
32	1.00982	0.0958174
33	1.03276	0.0868477
34	1.03822	0.0859235
35	1.04763	0.0834871
36	1.05948	0.0781235
37	1.06844	0.0699046
38	1.07576	0.0721712
39	1.08494	0.0621083
40	1.095	0.0614193
41	1.10077	0.0597989
42	1.10914	0.0538906
43	1.11845	0.0477332
44	1.12221	0.0457747
45	1.128	0.0458689
46	1.13338	0.0448042
47	1.1407	0.0383502
48	1.1448	0.0390547
49	1.14976	0.0362645
50	1.15557	0.0320196
51	1.1584	0.0331419
52	1.16284	0.0312967
53	1.17014	0.0233243
54	1.17301	0.0267243
55	1.17877	0.0211036
56	1.18045	0.0232599
57	1.18543	0.0192674
58	1.18954	0.0172639
59	1.19326	0.0157215
60	1.19651	0.0154342
