# dynamic_c=1_k=2_n=500_b=-0.04_p=0
#
# N1	aoic	stdev
0	-0.516481	0.108627
5	-0.444309	0.106852
10	-0.360751	0.108748
15	-0.29194	0.108331
20	-0.217731	0.100521
25	-0.156263	0.0999535
30	-0.0884743	0.0952893
35	-0.0275005	0.0946788
40	0.0337191	0.0893054
45	0.089723	0.0901425
50	0.144374	0.0913177
55	0.202413	0.0887435
60	0.250391	0.0856875
65	0.299207	0.0867119
70	0.34123	0.0821614
75	0.392841	0.0824689
80	0.429035	0.0810858
85	0.47568	0.0757628
90	0.513464	0.0748863
95	0.548684	0.0743336
100	0.581357	0.0738318
105	0.61555	0.0710592
110	0.649078	0.0672582
115	0.683576	0.0674159
120	0.711577	0.0668574
125	0.741644	0.0620856
130	0.767123	0.0633438
135	0.791892	0.0601097
140	0.815844	0.0578557
145	0.840414	0.0547831
150	0.863866	0.0551718
155	0.884407	0.0539085
160	0.900154	0.0515682
165	0.92387	0.0478901
170	0.942048	0.0455098
175	0.954881	0.0463707
180	0.973922	0.0440848
185	0.989259	0.0433405
190	1.00406	0.0415593
195	1.01728	0.0394349
200	1.03202	0.0390215
205	1.04418	0.0378256
210	1.0564	0.0351069
215	1.06785	0.0316885
220	1.07568	0.0336194
225	1.08944	0.0316237
230	1.09811	0.0288034
235	1.10633	0.0285755
240	1.115	0.0267961
245	1.12436	0.0245321
250	1.13235	0.0236363
255	1.14018	0.0227057
260	1.14718	0.0211937
265	1.15329	0.0199724
270	1.15973	0.0187748
275	1.16622	0.0180562
280	1.17269	0.0163539
285	1.17844	0.0152904
290	1.18326	0.0147307
295	1.1879	0.0140973
300	1.19321	0.0136317
