# dynamic_c=1_k=2_n=500_b=-0.02_p=0
#
# N1	aoic	stdev
0	-0.188364	0.111462
5	-0.129628	0.108589
10	-0.0653394	0.109513
15	-0.00299475	0.102525
20	0.0628242	0.100371
25	0.10958	0.100992
30	0.165797	0.101177
35	0.218648	0.0986327
40	0.265281	0.0920245
45	0.311591	0.0911317
50	0.356064	0.0915753
55	0.40068	0.0877141
60	0.443469	0.0875411
65	0.488519	0.0836187
70	0.524677	0.0815862
75	0.562323	0.0774431
80	0.593989	0.0743181
85	0.635003	0.0735051
90	0.668743	0.0735011
95	0.692988	0.0687535
100	0.724475	0.0688632
105	0.749434	0.0673847
110	0.777525	0.0635191
115	0.800915	0.0617269
120	0.827126	0.0624223
125	0.84766	0.0590523
130	0.87176	0.0575242
135	0.893518	0.0561607
140	0.911062	0.0527459
145	0.925864	0.0529829
150	0.944822	0.0504772
155	0.966341	0.0471275
160	0.97983	0.0455497
165	0.994769	0.042847
170	1.00754	0.0435508
175	1.02263	0.0407632
180	1.03361	0.0408927
185	1.04601	0.0383802
190	1.05775	0.0369015
195	1.06631	0.0356256
200	1.07929	0.0338702
205	1.0879	0.0319293
210	1.09783	0.0304392
215	1.10648	0.028782
220	1.11408	0.0279068
225	1.12181	0.0272731
230	1.13004	0.0241438
235	1.13714	0.023081
240	1.14356	0.0220968
245	1.14956	0.0212593
250	1.15568	0.0197573
255	1.16114	0.0194904
260	1.16802	0.0176152
265	1.1734	0.0158974
270	1.17839	0.0149414
275	1.1839	0.0137288
280	1.1883	0.0136983
285	1.19169	0.0127616
290	1.19648	0.0118519
295	1.20158	0.0107082
300	1.20501	0.0106516
