# dynamic_c=1_k=4_n=500_b=-0.1_p=0
#
# N1	aoic	stdev
0	-1.03615	0.0303918
5	-1.00004	0.043659
10	-0.951357	0.0543561
15	-0.891965	0.0645576
20	-0.827989	0.0732163
25	-0.760541	0.0804086
30	-0.686792	0.0867703
35	-0.613018	0.0932124
40	-0.539704	0.0906153
45	-0.461335	0.0932139
50	-0.390055	0.0956152
55	-0.310005	0.09889
60	-0.237823	0.100011
65	-0.158989	0.101053
70	-0.0938576	0.0978853
75	-0.0213826	0.0984681
80	0.0490372	0.0985542
85	0.115879	0.101468
90	0.173973	0.0991606
95	0.237067	0.0980538
100	0.297128	0.0946497
105	0.36148	0.097374
110	0.416113	0.0952379
115	0.465526	0.0919578
120	0.510194	0.0890829
125	0.563034	0.0934737
130	0.603524	0.0861771
135	0.646077	0.0867402
140	0.680892	0.0803321
145	0.721982	0.0822026
150	0.752668	0.0774941
155	0.783326	0.0774346
160	0.821612	0.073724
165	0.844178	0.0690086
170	0.874144	0.0648183
175	0.898247	0.0651401
180	0.920482	0.0630113
185	0.943239	0.0580651
190	0.963156	0.0558531
195	0.983368	0.0531653
200	1.00297	0.0498324
205	1.01502	0.0476505
210	1.03035	0.0458361
215	1.04442	0.043845
220	1.05934	0.0385603
225	1.0724	0.0386006
230	1.08156	0.0366559
235	1.09177	0.0351577
240	1.10079	0.0325602
245	1.10931	0.0299137
250	1.11723	0.0281439
255	1.12501	0.0269803
260	1.13365	0.0256238
265	1.14139	0.0217962
270	1.14732	0.0211045
275	1.15411	0.0181636
280	1.15956	0.0174857
285	1.1654	0.0162326
290	1.1692	0.0155624
295	1.17448	0.0135741
300	1.17896	0.0124354
