# static_c=1_k=2_n=100_b=0_p=0
#
# N1	aoic	stdev
0	0.0126153	0.262835
1	0.0609986	0.258926
2	0.104267	0.249267
3	0.156554	0.247388
4	0.228462	0.23777
5	0.264457	0.233388
6	0.325059	0.221611
7	0.382372	0.219455
8	0.410895	0.206427
9	0.456886	0.202368
10	0.495014	0.19249
11	0.53339	0.190695
12	0.573007	0.185848
13	0.603825	0.179539
14	0.63648	0.1774
15	0.664452	0.168524
16	0.700348	0.168845
17	0.730295	0.153727
18	0.749734	0.155502
19	0.774485	0.1509
20	0.79915	0.149982
21	0.82773	0.136835
22	0.840678	0.136054
23	0.866009	0.131765
24	0.893977	0.124933
25	0.91653	0.118994
26	0.931222	0.114191
27	0.942778	0.112539
28	0.962007	0.105985
29	0.971138	0.102881
30	0.978719	0.105073
31	0.999448	0.0985835
32	1.01994	0.0893114
33	1.02506	0.0886244
34	1.04075	0.0851954
35	1.05016	0.0803953
36	1.06115	0.0743935
37	1.06911	0.0714356
38	1.07832	0.0672225
39	1.09083	0.0630258
40	1.09675	0.0614425
41	1.10541	0.0586615
42	1.11108	0.0573722
43	1.11897	0.0525888
44	1.12462	0.0489462
45	1.13078	0.0490521
46	1.13864	0.0431724
47	1.14488	0.0400226
48	1.14853	0.0399591
49	1.15425	0.0376567
50	1.16057	0.0323632
51	1.16647	0.0312876
52	1.16972	0.0309354
53	1.17483	0.0276203
54	1.17912	0.0257212
55	1.18151	0.0261854
56	1.18596	0.024815
57	1.19099	0.0206455
58	1.19596	0.0168582
59	1.1977	0.0208317
60	1.20308	0.0148131
