# dynamic_c=1_k=2_n=250_b=0_p=0
#
# N1	aoic	stdev
0	-0.00343177	0.17184
3	0.0678413	0.161307
6	0.127192	0.153298
9	0.202548	0.146301
12	0.259915	0.14191
15	0.315023	0.137802
18	0.378593	0.13153
21	0.425279	0.132384
24	0.479477	0.12704
27	0.524381	0.123112
30	0.568247	0.119106
33	0.60979	0.112922
36	0.652654	0.111824
39	0.693582	0.106055
42	0.727589	0.104389
45	0.754737	0.0962138
48	0.783247	0.0936971
51	0.814284	0.0929315
54	0.844044	0.0858083
57	0.868897	0.086769
60	0.891621	0.0794435
63	0.918243	0.0733532
66	0.934844	0.0724685
69	0.957459	0.0676767
72	0.977482	0.0658897
75	0.993859	0.0655812
78	1.01352	0.0592197
81	1.02765	0.0567354
84	1.04378	0.0550098
87	1.05535	0.0509871
90	1.0678	0.0501819
93	1.08007	0.0444423
96	1.09098	0.045574
99	1.09949	0.0410775
102	1.11459	0.0382471
105	1.12024	0.0369442
108	1.12745	0.0349257
111	1.13797	0.0320753
114	1.14489	0.030275
117	1.15225	0.0288371
120	1.16001	0.0253309
123	1.16709	0.0238546
126	1.1719	0.0226679
129	1.17874	0.0204492
132	1.18489	0.0185536
135	1.18989	0.0174501
138	1.19548	0.015173
141	1.20074	0.0132898
144	1.20535	0.0125784
147	1.20892	0.0134196
150	1.21444	0.0107225
