# dynamic_c=1_k=2_n=100_b=-0.06_p=0
#
# N1	aoic	stdev
0	-0.822164	0.179999
1	-0.736031	0.181819
2	-0.664948	0.187439
3	-0.580568	0.180012
4	-0.506126	0.195089
5	-0.43757	0.1843
6	-0.362836	0.183772
7	-0.284232	0.187864
8	-0.221228	0.185608
9	-0.151454	0.185734
10	-0.0917394	0.190949
11	-0.0205539	0.182267
12	0.0278276	0.185755
13	0.0888995	0.177061
14	0.154308	0.185834
15	0.196556	0.186686
16	0.251333	0.179931
17	0.307739	0.17641
18	0.352172	0.170951
19	0.403709	0.17737
20	0.430316	0.164849
21	0.479314	0.165951
22	0.513943	0.162841
23	0.560325	0.166536
24	0.611445	0.158319
25	0.634142	0.155538
26	0.65455	0.154457
27	0.696255	0.150883
28	0.729069	0.145386
29	0.755277	0.145506
30	0.784444	0.139344
31	0.813814	0.129759
32	0.829485	0.129609
33	0.861486	0.125334
34	0.878426	0.120616
35	0.901684	0.114452
36	0.918203	0.111651
37	0.936306	0.110517
38	0.957886	0.108948
39	0.972393	0.100865
40	0.987087	0.0975508
41	1.0057	0.0982076
42	1.01777	0.088369
43	1.03606	0.083981
44	1.04792	0.0845615
45	1.05879	0.0796077
46	1.07108	0.0777355
47	1.08016	0.0729121
48	1.09196	0.0699482
49	1.10193	0.065282
50	1.10877	0.0622542
51	1.12026	0.0565025
52	1.12978	0.0557296
53	1.1351	0.0532826
54	1.14493	0.0487738
55	1.15219	0.045985
56	1.15759	0.0445591
57	1.16314	0.0431083
58	1.17039	0.0399531
59	1.17462	0.0370131
60	1.18187	0.0360476
