# static_c=1_k=4_n=500_b=-0.06_p=0.9
#
# N1	aoic	stdev
0	-1.02584	0.0630827
5	-1.0145	0.0889273
10	-1.00014	0.125243
15	-0.962843	0.255541
20	-0.898728	0.399139
25	-0.800537	0.548752
30	-0.637378	0.71663
35	-0.363788	0.879956
40	-0.106657	0.94413
45	0.144764	0.940935
50	0.500618	0.830679
55	0.749066	0.643035
60	0.922572	0.399703
65	0.9809	0.261141
70	1.02058	0.076497
75	1.02338	0.0823288
80	1.03179	0.00113944
85	1.03561	0.00110575
90	1.03944	0.00116486
95	1.0433	0.00117951
100	1.04713	0.00121593
105	1.05085	0.00119695
110	1.05466	0.00115215
115	1.05833	0.00121072
120	1.0621	0.00116701
125	1.06575	0.00119977
130	1.06944	0.00121499
135	1.07314	0.00121967
140	1.07691	0.00123833
145	1.08053	0.00117774
150	1.08415	0.00119461
155	1.08774	0.00125084
160	1.09131	0.001202
165	1.09499	0.00121481
170	1.09856	0.00117185
175	1.10213	0.00121509
180	1.10565	0.00115788
185	1.10919	0.00116153
190	1.11278	0.00117746
195	1.11633	0.00114662
200	1.1198	0.00118111
205	1.12332	0.0011584
210	1.12679	0.00116176
215	1.13022	0.0012015
220	1.13365	0.00116077
225	1.13702	0.00113587
230	1.14049	0.00115109
235	1.14384	0.00115202
240	1.14729	0.00108944
245	1.15063	0.00108255
250	1.15409	0.00106448
255	1.15745	0.00108953
260	1.1608	0.00103496
265	1.16413	0.00103723
270	1.16748	0.00106418
275	1.17077	0.00108767
280	1.17402	0.00100602
285	1.17734	0.00105182
290	1.18061	0.000973523
295	1.18395	0.00101764
300	1.18714	0.000970979
