# dynamic_c=1_k=2_n=100_b=-0.02_p=0
#
# N1	aoic	stdev
0	-0.19842	0.254669
1	-0.115358	0.253969
2	-0.0577462	0.235954
3	0.00712474	0.234804
4	0.0576972	0.231411
5	0.123798	0.232373
6	0.171595	0.213418
7	0.224297	0.204522
8	0.275649	0.211257
9	0.321583	0.206486
10	0.365184	0.198205
11	0.40546	0.200094
12	0.451879	0.193749
13	0.499437	0.181281
14	0.53226	0.180754
15	0.561948	0.17417
16	0.60188	0.166446
17	0.639465	0.166779
18	0.667767	0.158922
19	0.703905	0.151173
20	0.728095	0.150851
21	0.76252	0.149024
22	0.783249	0.145079
23	0.806749	0.134386
24	0.838325	0.133665
25	0.852651	0.130785
26	0.874033	0.128529
27	0.902488	0.125611
28	0.915544	0.118126
29	0.941666	0.114954
30	0.956443	0.110584
31	0.965765	0.108594
32	0.994548	0.0991432
33	1.00006	0.0977578
34	1.01676	0.0950071
35	1.02431	0.0926348
36	1.03948	0.087686
37	1.04773	0.0861388
38	1.05972	0.0826084
39	1.07199	0.0790867
40	1.0834	0.0728903
41	1.09346	0.071509
42	1.10025	0.0675301
43	1.11027	0.0614717
44	1.11621	0.0608041
45	1.12677	0.0551962
46	1.1316	0.0546643
47	1.13683	0.052397
48	1.14369	0.0505187
49	1.15273	0.0434508
50	1.15874	0.0422561
51	1.1671	0.0364808
52	1.16825	0.0382175
53	1.17303	0.0369362
54	1.18093	0.0307895
55	1.18647	0.0280763
56	1.19069	0.0264946
57	1.19368	0.0269767
58	1.19994	0.0210782
59	1.20151	0.0235966
60	1.20561	0.0215561
