# static_c=1_k=4_n=100_b=-0.1_p=0.1
#
# N1	aoic	stdev
0	-1.03717	0.0619159
1	-1.02347	0.0559663
2	-0.989616	0.112565
3	-0.9433	0.135146
4	-0.901598	0.148821
5	-0.820129	0.200682
6	-0.74693	0.237648
7	-0.69162	0.233523
8	-0.59821	0.276835
9	-0.499284	0.312398
10	-0.41261	0.300762
11	-0.328816	0.323509
12	-0.204829	0.363
13	-0.0911596	0.352759
14	-0.00268113	0.339668
15	0.081018	0.339298
16	0.172668	0.327586
17	0.239324	0.320844
18	0.323748	0.302709
19	0.417349	0.285301
20	0.467855	0.280626
21	0.511834	0.266281
22	0.601398	0.250329
23	0.628352	0.242984
24	0.672277	0.227814
25	0.724377	0.206243
26	0.750852	0.19821
27	0.784145	0.189991
28	0.821925	0.177564
29	0.845109	0.165519
30	0.881191	0.151496
31	0.900073	0.150138
32	0.916294	0.139325
33	0.937532	0.130971
34	0.955536	0.131678
35	0.976509	0.118801
36	0.994914	0.110725
37	1.01371	0.101295
38	1.02027	0.0986893
39	1.03813	0.088909
40	1.0428	0.0865679
41	1.05586	0.0801287
42	1.06883	0.0720061
43	1.07193	0.0760798
44	1.08539	0.0648474
45	1.09238	0.0604017
46	1.10177	0.0533486
47	1.10628	0.0524273
48	1.11146	0.0526271
49	1.11973	0.0448452
50	1.12451	0.0436795
51	1.13122	0.0373162
52	1.13427	0.0390753
53	1.13981	0.0346464
54	1.14536	0.0314599
55	1.15037	0.0285423
56	1.15583	0.0229749
57	1.16045	0.0194751
58	1.1623	0.024226
59	1.16844	0.0168885
60	1.1716	0.0157048
