# static_c=1_k=4_n=100_b=-0.08_p=0.9
#
# N1	aoic	stdev
0	-0.961876	0.369819
1	-0.961182	0.348674
2	-0.916052	0.430758
3	-0.872275	0.492588
4	-0.781922	0.6064
5	-0.732834	0.64828
6	-0.63388	0.729874
7	-0.585832	0.752313
8	-0.402375	0.855577
9	-0.197247	0.918662
10	-0.111422	0.926394
11	0.0438207	0.929498
12	0.21809	0.907966
13	0.434356	0.840282
14	0.516228	0.797152
15	0.639999	0.714944
16	0.799867	0.570094
17	0.877904	0.468803
18	0.936829	0.371095
19	0.985878	0.259548
20	1.01421	0.172753
21	1.01889	0.168154
22	1.036	0.0945709
23	1.04482	0.0409186
24	1.04963	0.00348442
25	1.05349	0.00348223
26	1.05728	0.00368654
27	1.06106	0.00355342
28	1.06491	0.00347203
29	1.06855	0.00356313
30	1.0721	0.00343624
31	1.07604	0.00355444
32	1.07966	0.00350217
33	1.0831	0.00343282
34	1.08717	0.00330987
35	1.09071	0.00341231
36	1.09417	0.00343489
37	1.09795	0.00342304
38	1.1016	0.0035667
39	1.10523	0.00331333
40	1.10885	0.0033215
41	1.11245	0.00340129
42	1.11587	0.00330867
43	1.11952	0.00324518
44	1.12276	0.00319654
45	1.12627	0.00327983
46	1.12997	0.00324809
47	1.13363	0.0031784
48	1.13702	0.00322159
49	1.14054	0.00318342
50	1.14367	0.0031904
51	1.14741	0.00301001
52	1.15083	0.00305958
53	1.15428	0.00300977
54	1.15751	0.00311214
55	1.16106	0.00295901
56	1.16419	0.00307711
57	1.16766	0.0031411
58	1.17094	0.00299355
59	1.17429	0.00290877
60	1.17763	0.00287447
