# static_c=1_k=4_n=250_b=-0.04_p=0.1
#
# N1	aoic	stdev
0	-0.780175	0.209679
3	-0.656173	0.245552
6	-0.494102	0.287057
9	-0.332769	0.292071
12	-0.195716	0.297352
15	-0.0481086	0.303687
18	0.0847983	0.28671
21	0.223351	0.276398
24	0.340282	0.25399
27	0.442386	0.219127
30	0.52642	0.209935
33	0.609053	0.182269
36	0.668946	0.162631
39	0.730107	0.152652
42	0.767178	0.140068
45	0.815312	0.127777
48	0.856653	0.111844
51	0.883289	0.10574
54	0.91498	0.0938894
57	0.942552	0.0872025
60	0.962987	0.0805007
63	0.980969	0.0752009
66	0.998332	0.0684995
69	1.01606	0.0641458
72	1.02993	0.0594302
75	1.04371	0.0568696
78	1.05852	0.0462135
81	1.06719	0.0436853
84	1.07766	0.0390005
87	1.08682	0.0358341
90	1.09229	0.0342174
93	1.09981	0.0312816
96	1.10781	0.0277065
99	1.11498	0.024924
102	1.1197	0.0242532
105	1.12681	0.0209915
108	1.13108	0.0192915
111	1.13796	0.0152309
114	1.14172	0.0161902
117	1.14679	0.014
120	1.15191	0.0115697
123	1.1563	0.0106176
126	1.16065	0.0091121
129	1.16527	0.0072482
132	1.16891	0.00818274
135	1.17346	0.00589455
138	1.17791	0.00372745
141	1.18152	0.00528609
144	1.18556	0.00478254
147	1.18967	0.00289095
150	1.19342	0.00364526
