# dynamic_c=1_k=2_n=100_b=-0.04_p=0
#
# N1	aoic	stdev
0	-0.513532	0.241484
1	-0.451323	0.242015
2	-0.366385	0.229909
3	-0.279857	0.223321
4	-0.21643	0.230559
5	-0.154233	0.21787
6	-0.0855118	0.21822
7	-0.0241674	0.211026
8	0.0537783	0.209143
9	0.0982453	0.20306
10	0.152741	0.19799
11	0.20946	0.195944
12	0.248384	0.188581
13	0.313858	0.184135
14	0.358587	0.189589
15	0.389317	0.181155
16	0.44435	0.173193
17	0.481328	0.169382
18	0.526028	0.172971
19	0.560279	0.161833
20	0.603619	0.154165
21	0.628232	0.158744
22	0.654522	0.155351
23	0.682729	0.146578
24	0.715585	0.148659
25	0.745946	0.137886
26	0.781708	0.134711
27	0.798617	0.129618
28	0.83151	0.127792
29	0.853458	0.124944
30	0.87294	0.116553
31	0.890004	0.113347
32	0.909811	0.115234
33	0.927375	0.111076
34	0.947777	0.100616
35	0.962618	0.102739
36	0.976208	0.0990693
37	0.998424	0.0910564
38	1.01502	0.0946489
39	1.02934	0.085574
40	1.03846	0.0824527
41	1.0509	0.0771045
42	1.05849	0.0759527
43	1.07104	0.0697908
44	1.08314	0.0695143
45	1.09099	0.066399
46	1.10315	0.0614308
47	1.1108	0.0608081
48	1.11615	0.0594332
49	1.12837	0.055805
50	1.13307	0.0531812
51	1.14125	0.0495766
52	1.15034	0.045247
53	1.15743	0.0421621
54	1.16199	0.0404916
55	1.17131	0.0371413
56	1.17349	0.0362219
57	1.18075	0.0326986
58	1.18629	0.0304489
59	1.18981	0.0296022
60	1.19579	0.0268048
