# dynamic_c=1_k=2_n=100_b=-0.04_p=0.1
#
# N1	aoic	stdev
0	-0.870145	0.328672
1	-0.762386	0.391796
2	-0.638142	0.434882
3	-0.528153	0.442926
4	-0.388403	0.470805
5	-0.272123	0.468033
6	-0.138423	0.462435
7	0.00612414	0.468282
8	0.109956	0.45142
9	0.234538	0.433685
10	0.34059	0.418876
11	0.444984	0.394273
12	0.503636	0.369227
13	0.631666	0.331983
14	0.686197	0.311138
15	0.749062	0.281378
16	0.794107	0.26234
17	0.864149	0.227338
18	0.901151	0.197698
19	0.951029	0.176135
20	0.964786	0.155892
21	0.994521	0.130985
22	1.0167	0.107778
23	1.02951	0.0993594
24	1.04704	0.0800964
25	1.06056	0.0633281
26	1.06409	0.0594496
27	1.07603	0.056148
28	1.08094	0.044205
29	1.08888	0.0364753
30	1.09491	0.0320191
31	1.10095	0.0240608
32	1.105	0.0263435
33	1.10911	0.0221399
34	1.11355	0.0177316
35	1.11874	0.012375
36	1.12246	0.0130122
37	1.12579	0.0131385
38	1.12971	0.00983582
39	1.13356	0.0066834
40	1.13728	0.00566434
41	1.14043	0.00830565
42	1.14429	0.00436744
43	1.14778	0.00378597
44	1.15141	0.00204808
45	1.15486	0.00242119
46	1.15814	0.00400206
47	1.16169	0.0024047
48	1.16512	0.000986797
49	1.16842	0.00123419
50	1.17182	0.000993188
51	1.17519	0.000997337
52	1.17847	0.00102694
53	1.18185	0.000980341
54	1.18515	0.000969443
55	1.18845	0.000968288
56	1.19169	0.000955467
57	1.19506	0.000928365
58	1.19836	0.000945301
59	1.20166	0.000920007
60	1.20488	0.00089639
