# dynamic_c=1_k=4_n=100_b=-0.06_p=0
#
# N1	aoic	stdev
0	-0.867761	0.204542
1	-0.779344	0.208224
2	-0.699814	0.217933
3	-0.597252	0.235548
4	-0.498019	0.256287
5	-0.413554	0.265261
6	-0.327761	0.245213
7	-0.260689	0.252019
8	-0.161947	0.255463
9	-0.0837639	0.254542
10	0.00210942	0.264487
11	0.0802711	0.251889
12	0.165199	0.248418
13	0.215457	0.240348
14	0.29309	0.23499
15	0.354119	0.236194
16	0.419312	0.225722
17	0.477685	0.21844
18	0.526552	0.22001
19	0.578757	0.207521
20	0.612463	0.197948
21	0.669658	0.195069
22	0.712283	0.194445
23	0.744825	0.183287
24	0.779229	0.171407
25	0.808154	0.171404
26	0.857998	0.157331
27	0.868247	0.155428
28	0.903568	0.146813
29	0.925513	0.141781
30	0.941848	0.13314
31	0.978247	0.119658
32	0.983852	0.118631
33	1.00442	0.111935
34	1.01707	0.107841
35	1.03829	0.0956843
36	1.04774	0.0963659
37	1.06146	0.0882285
38	1.07381	0.0802218
39	1.08138	0.0763164
40	1.09201	0.0712096
41	1.0988	0.0668487
42	1.10866	0.0643051
43	1.11736	0.0555881
44	1.12383	0.0528512
45	1.12997	0.0493578
46	1.13636	0.0445052
47	1.14358	0.0391295
48	1.14869	0.035199
49	1.15322	0.0345498
50	1.15698	0.0329963
51	1.163	0.0283489
52	1.16739	0.0254477
53	1.17144	0.0229116
54	1.17488	0.0227747
55	1.17951	0.0201894
56	1.18363	0.017497
57	1.18736	0.014919
58	1.19138	0.0114829
59	1.19457	0.0120492
60	1.19883	0.00661531
