# dynamic_c=1_k=2_n=100_b=-0.1_p=0.3
#
# N1	aoic	stdev
0	-1.05373	0.0635099
1	-1.04113	0.109619
2	-1.03411	0.0629736
3	-1.01399	0.139484
4	-0.983621	0.197841
5	-0.944333	0.215573
6	-0.901531	0.222714
7	-0.840775	0.307982
8	-0.778103	0.371898
9	-0.717269	0.401322
10	-0.603704	0.520017
11	-0.473461	0.595299
12	-0.347166	0.634158
13	-0.202725	0.667804
14	-0.0372818	0.700274
15	0.172163	0.704151
16	0.363801	0.678275
17	0.510634	0.622029
18	0.633457	0.573294
19	0.804401	0.454351
20	0.886551	0.377752
21	0.956493	0.27928
22	1.00578	0.187714
23	1.02947	0.127852
24	1.04457	0.0774089
25	1.05103	0.0691956
26	1.06002	0.0263186
27	1.06477	0.00595367
28	1.06876	0.00384335
29	1.07271	0.00111907
30	1.07648	0.00117349
31	1.0803	0.00112711
32	1.08419	0.00108522
33	1.08794	0.00116178
34	1.09168	0.00116107
35	1.09543	0.00113628
36	1.09919	0.0011208
37	1.10295	0.00109429
38	1.10657	0.00110528
39	1.11031	0.00112956
40	1.11401	0.0010919
41	1.11772	0.0011505
42	1.1214	0.00114873
43	1.12492	0.00108577
44	1.12859	0.00113021
45	1.13221	0.00113082
46	1.13576	0.00112489
47	1.13936	0.0010596
48	1.14293	0.00111683
49	1.14643	0.00110909
50	1.15003	0.0010882
51	1.15353	0.00104336
52	1.15709	0.00106615
53	1.16059	0.0010826
54	1.16408	0.00102309
55	1.16753	0.00107492
56	1.17097	0.0010667
57	1.17444	0.00105314
58	1.17785	0.00101922
59	1.18129	0.0010189
60	1.18473	0.0009924
