# dynamic_c=1_k=2_n=100_b=-0.1_p=0.5
#
# N1	aoic	stdev
0	-1.05078	0.0896671
1	-1.04267	0.089509
2	-1.0338	0.0894367
3	-1.01603	0.154142
4	-0.985575	0.249573
5	-0.949536	0.326852
6	-0.928297	0.347141
7	-0.844865	0.482501
8	-0.771258	0.543771
9	-0.67288	0.591654
10	-0.525023	0.693268
11	-0.445344	0.725061
12	-0.268082	0.805373
13	-0.131141	0.838073
14	0.0202342	0.853197
15	0.179598	0.84788
16	0.359308	0.814108
17	0.48473	0.766657
18	0.654458	0.675684
19	0.772412	0.581149
20	0.877462	0.464238
21	0.974758	0.301066
22	1.00463	0.236834
23	1.02722	0.170754
24	1.04801	0.0773929
25	1.05561	0.0384239
26	1.06074	0.00113698
27	1.06455	0.00112467
28	1.06848	0.00113306
29	1.07238	0.00106929
30	1.07621	0.00115483
31	1.08002	0.00113761
32	1.08383	0.00113538
33	1.0876	0.00114836
34	1.0914	0.0010927
35	1.09511	0.00112386
36	1.0989	0.00111207
37	1.10264	0.00111993
38	1.10634	0.00111713
39	1.10998	0.00112975
40	1.1137	0.00110512
41	1.11738	0.00116086
42	1.12102	0.00113031
43	1.1247	0.00113919
44	1.12829	0.00113525
45	1.1319	0.00107427
46	1.13553	0.00112112
47	1.139	0.00110118
48	1.14261	0.0010816
49	1.14618	0.00113981
50	1.1497	0.00110706
51	1.15318	0.00108952
52	1.15673	0.00107622
53	1.16018	0.00104709
54	1.16369	0.00106309
55	1.16715	0.000986316
56	1.17067	0.00103506
57	1.17413	0.00104373
58	1.17755	0.00101535
59	1.18091	0.000973392
60	1.18432	0.00100358
