# dynamic_c=1_k=2_n=500_b=-0.08_p=0.7
#
# N1	aoic	stdev
0	-1.04753	0.000140122
5	-1.03897	0.00108182
10	-1.02945	0.0024099
15	-1.01923	0.003581
20	-1.008	0.00467613
25	-0.989348	0.108636
30	-0.971385	0.139367
35	-0.922069	0.220664
40	-0.781003	0.442019
45	-0.675753	0.553792
50	-0.460026	0.736551
55	-0.147891	0.870382
60	0.134812	0.894331
65	0.451095	0.824688
70	0.800596	0.58259
75	0.871311	0.494859
80	0.978935	0.2964
85	1.01524	0.188002
90	1.03262	0.115034
95	1.04312	0.0506332
100	1.04863	0.000407287
105	1.05253	0.000404729
110	1.05645	0.000396173
115	1.06033	0.000422307
120	1.06418	0.000432899
125	1.06801	0.000426132
130	1.07181	0.000426291
135	1.0756	0.00042613
140	1.07942	0.000416643
145	1.08317	0.000434026
150	1.08692	0.000422177
155	1.09069	0.000421675
160	1.09436	0.000421876
165	1.09805	0.000427427
170	1.10174	0.000436557
175	1.10542	0.000431033
180	1.10909	0.000421096
185	1.11269	0.000427473
190	1.11634	0.000430492
195	1.11998	0.000426721
200	1.12352	0.000412503
205	1.12715	0.000416001
210	1.13071	0.000436904
215	1.13423	0.000424657
220	1.1378	0.000417397
225	1.14133	0.000426803
230	1.14484	0.000409571
235	1.14836	0.000408389
240	1.15181	0.000406617
245	1.15531	0.000397588
250	1.15876	0.000401157
255	1.16221	0.000395036
260	1.16565	0.000386077
265	1.16906	0.000389219
270	1.17245	0.000400894
275	1.17589	0.000399059
280	1.17927	0.000388257
285	1.18264	0.000388668
290	1.186	0.000376091
295	1.18937	0.000361596
300	1.19271	0.000361483
