# static_c=1_k=2_n=100_b=-0.08_p=0.7
#
# N1	aoic	stdev
0	-1.00334	0.235699
1	-0.955437	0.347635
2	-0.931626	0.373974
3	-0.82578	0.539818
4	-0.762435	0.595149
5	-0.664252	0.672768
6	-0.570318	0.730775
7	-0.424485	0.801265
8	-0.331857	0.816631
9	-0.162697	0.858646
10	-0.039049	0.848773
11	0.191693	0.839004
12	0.328271	0.808476
13	0.468037	0.7391
14	0.591908	0.665721
15	0.701375	0.587332
16	0.791941	0.500243
17	0.841885	0.435888
18	0.87464	0.395653
19	0.915771	0.34418
20	0.93621	0.302694
21	0.986801	0.191372
22	0.995503	0.179774
23	1.01526	0.14602
24	1.02218	0.127709
25	1.0337	0.100597
26	1.03649	0.095671
27	1.04854	0.0648161
28	1.05422	0.0552831
29	1.06062	0.0428196
30	1.06454	0.0443037
31	1.0705	0.0298397
32	1.07306	0.0371568
33	1.07705	0.0336483
34	1.0822	0.0296343
35	1.08709	0.0259867
36	1.08934	0.0272552
37	1.09567	0.0166346
38	1.09701	0.0254868
39	1.10281	0.0187414
40	1.10615	0.0185623
41	1.10991	0.018638
42	1.11455	0.0123217
43	1.11854	0.0100723
44	1.12148	0.0134665
45	1.12509	0.0150952
46	1.12886	0.0140259
47	1.133	0.0107085
48	1.13664	0.00820774
49	1.13948	0.0133336
50	1.14355	0.00726863
51	1.14701	0.00735356
52	1.1505	0.00710158
53	1.15384	0.00726515
54	1.15719	0.00714428
55	1.16048	0.0134617
56	1.16391	0.00682253
57	1.16739	0.00793187
58	1.17047	0.00899094
59	1.17421	0.00527836
60	1.17774	0.00409944
