# static_c=1_k=2_n=100_b=-0.08_p=0.1
#
# N1	aoic	stdev
0	-0.984825	0.103676
1	-0.92268	0.121915
2	-0.853074	0.139951
3	-0.788136	0.166812
4	-0.71329	0.179359
5	-0.633481	0.199879
6	-0.552444	0.214493
7	-0.466432	0.222967
8	-0.396797	0.225711
9	-0.308161	0.233553
10	-0.226262	0.249007
11	-0.154928	0.247508
12	-0.0880205	0.252687
13	-0.00797768	0.235989
14	0.0491019	0.24784
15	0.114128	0.239759
16	0.186421	0.243823
17	0.25571	0.237722
18	0.297674	0.221297
19	0.35709	0.221668
20	0.396667	0.216642
21	0.461668	0.219434
22	0.504454	0.209671
23	0.553513	0.20459
24	0.58796	0.201882
25	0.624668	0.192272
26	0.666229	0.184871
27	0.700168	0.173043
28	0.726596	0.172565
29	0.755318	0.161581
30	0.787814	0.158297
31	0.810135	0.156174
32	0.839455	0.149757
33	0.861727	0.140146
34	0.890286	0.132898
35	0.901927	0.130093
36	0.918552	0.121089
37	0.941724	0.120454
38	0.959888	0.1149
39	0.972404	0.110248
40	0.988235	0.100708
41	1.01065	0.091941
42	1.01913	0.0916788
43	1.03294	0.087815
44	1.04373	0.086667
45	1.05927	0.0761801
46	1.06553	0.0775236
47	1.06983	0.0727649
48	1.08557	0.0671841
49	1.09103	0.0648393
50	1.10027	0.0617951
51	1.10783	0.0569973
52	1.118	0.0555112
53	1.12467	0.0515318
54	1.13135	0.0483421
55	1.13747	0.0443692
56	1.14348	0.0436976
57	1.15041	0.0396379
58	1.15556	0.0377335
59	1.16037	0.0368489
60	1.16618	0.0322047
