# static_c=1_k=4_n=250_b=-0.1_p=0
#
# N1	aoic	stdev
0	-1.0267	0.0456289
3	-0.978421	0.0653992
6	-0.919406	0.0831941
9	-0.844825	0.101453
12	-0.768664	0.112126
15	-0.684369	0.119194
18	-0.591534	0.126842
21	-0.504547	0.136727
24	-0.419832	0.135028
27	-0.322676	0.141203
30	-0.24037	0.142442
33	-0.13936	0.137229
36	-0.0547105	0.143798
39	0.0277077	0.149216
42	0.0969438	0.13977
45	0.176847	0.140194
48	0.257394	0.138331
51	0.314721	0.134435
54	0.384553	0.134904
57	0.450893	0.125927
60	0.507103	0.125236
63	0.558526	0.126578
66	0.624693	0.116534
69	0.668661	0.116028
72	0.711588	0.113719
75	0.751937	0.108536
78	0.795749	0.104028
81	0.824833	0.101692
84	0.86014	0.0951141
87	0.886711	0.0937472
90	0.912213	0.0873537
93	0.944612	0.0777096
96	0.966127	0.0772525
99	0.984895	0.0749416
102	1.00656	0.0692996
105	1.02389	0.0645021
108	1.04013	0.0567813
111	1.05662	0.055292
114	1.06806	0.0516157
117	1.08064	0.0475177
120	1.09402	0.0430168
123	1.10268	0.0399491
126	1.1126	0.0370447
129	1.12226	0.0337728
132	1.12987	0.0299165
135	1.13675	0.0294257
138	1.14458	0.0245339
141	1.15056	0.0238155
144	1.15745	0.0197931
147	1.16216	0.0198724
150	1.16715	0.017783
