# static_c=1_k=4_n=100_b=-0.02_p=0.3
#
# N1	aoic	stdev
0	-0.425028	0.814122
1	-0.291653	0.836213
2	-0.121945	0.84953
3	0.0633576	0.838654
4	0.171291	0.795453
5	0.340768	0.746132
6	0.46542	0.694526
7	0.603568	0.603908
8	0.699299	0.521542
9	0.753785	0.470256
10	0.832173	0.383683
11	0.908894	0.282748
12	0.940683	0.234535
13	0.965137	0.186841
14	0.983034	0.156603
15	0.99513	0.136789
16	1.00896	0.100367
17	1.02006	0.0996156
18	1.02714	0.0892436
19	1.03901	0.06054
20	1.04274	0.060094
21	1.05303	0.0519596
22	1.05765	0.0453137
23	1.06189	0.0494229
24	1.06849	0.0408017
25	1.07487	0.0335828
26	1.07609	0.0384324
27	1.08356	0.0285759
28	1.08733	0.0303326
29	1.09184	0.0250198
30	1.09526	0.025921
31	1.09912	0.0262576
32	1.10389	0.0205978
33	1.10825	0.0160567
34	1.11101	0.0188868
35	1.11451	0.0178628
36	1.11881	0.0154052
37	1.12195	0.0142365
38	1.12623	0.0109472
39	1.13002	0.00858218
40	1.13338	0.00800634
41	1.13654	0.0100193
42	1.13984	0.0107073
43	1.14358	0.00705134
44	1.14716	0.00554481
45	1.15013	0.00819472
46	1.15354	0.00698899
47	1.15727	0.00199442
48	1.16059	0.00206493
49	1.16365	0.00452734
50	1.16715	0.00378626
51	1.17013	0.00467424
52	1.17337	0.00611235
53	1.17685	0.00202724
54	1.18012	0.00195161
55	1.18328	0.00190605
56	1.18656	0.00191427
57	1.18959	0.00189895
58	1.19289	0.00190985
59	1.19596	0.00188398
60	1.19913	0.00189578
