# static_c=1_k=4_n=500_b=-0.1_p=0.9
#
# N1	aoic	stdev
0	-1.04576	0.000487312
5	-1.03791	0.00112137
10	-1.0293	0.00196872
15	-1.0197	0.00332931
20	-1.00907	0.00457259
25	-0.997122	0.00593013
30	-0.983453	0.0077102
35	-0.967182	0.0620847
40	-0.944664	0.122376
45	-0.900662	0.255496
50	-0.834486	0.381919
55	-0.681525	0.594684
60	-0.45184	0.778337
65	-0.147702	0.892114
70	0.212298	0.899546
75	0.516518	0.796006
80	0.77059	0.602367
85	0.937931	0.355694
90	1.00305	0.16556
95	1.02119	0.0707692
100	1.02347	0.0894417
105	1.03242	0.0013085
110	1.03629	0.00128513
115	1.04024	0.00129808
120	1.04414	0.00127397
125	1.04802	0.00132678
130	1.05184	0.00130786
135	1.05568	0.00136611
140	1.05958	0.00129916
145	1.06331	0.00134006
150	1.06719	0.00125982
155	1.071	0.00129119
160	1.07472	0.00127753
165	1.07844	0.00130646
170	1.08218	0.00127939
175	1.08593	0.00129094
180	1.08954	0.0012239
185	1.09328	0.00126888
190	1.09697	0.00128688
195	1.10059	0.00126571
200	1.10418	0.00122629
205	1.10779	0.0012586
210	1.11147	0.0012194
215	1.11512	0.00115877
220	1.11859	0.00122304
225	1.1222	0.00119236
230	1.1257	0.00119802
235	1.12931	0.00122213
240	1.13281	0.00111616
245	1.13624	0.001192
250	1.13978	0.00115539
255	1.14333	0.00113138
260	1.14669	0.00116167
265	1.15016	0.00115559
270	1.15368	0.00108489
275	1.15701	0.00110979
280	1.16045	0.00110703
285	1.16383	0.00106456
290	1.16728	0.0010358
295	1.17064	0.00106524
300	1.17397	0.00102642
