# dynamic_c=1_k=2_n=500_b=0_p=0.1
#
# N1	aoic	stdev
0	-0.0101494	0.34164
5	0.169878	0.333694
10	0.322794	0.321213
15	0.484189	0.295599
20	0.609181	0.275499
25	0.725985	0.226276
30	0.815625	0.18382
35	0.881159	0.147474
40	0.935486	0.103128
45	0.968436	0.0756987
50	0.993325	0.0609628
55	1.012	0.0459875
60	1.02704	0.0377308
65	1.03857	0.0289289
70	1.04838	0.0218631
75	1.05467	0.0209994
80	1.0616	0.0153668
85	1.06749	0.0122619
90	1.07223	0.0114907
95	1.07721	0.00875184
100	1.08139	0.00813633
105	1.08579	0.00614475
110	1.08971	0.00488187
115	1.09343	0.00474568
120	1.09724	0.00392869
125	1.10096	0.00317298
130	1.10462	0.00241129
135	1.10815	0.00224326
140	1.11181	0.00141836
145	1.11526	0.00126493
150	1.11875	0.00137885
155	1.1222	0.00134354
160	1.12569	0.000877699
165	1.12911	0.000896098
170	1.13256	0.000640623
175	1.13598	0.000402247
180	1.13938	0.000388304
185	1.14274	0.000434608
190	1.14613	0.000416105
195	1.1495	0.00040837
200	1.15286	0.000398368
205	1.1562	0.00040605
210	1.15953	0.000438206
215	1.16283	0.000406758
220	1.16617	0.000406983
225	1.16948	0.000405041
230	1.17277	0.000401269
235	1.17607	0.000412736
240	1.17935	0.000400707
245	1.18259	0.000414586
250	1.18587	0.000411737
255	1.1891	0.000409661
260	1.19232	0.000403782
265	1.19557	0.000386576
270	1.19878	0.000404473
275	1.202	0.000383609
280	1.20519	0.000391996
285	1.2084	0.00040368
290	1.21159	0.000384338
295	1.21476	0.00037299
300	1.21791	0.000367762
