# static_c=1_k=2_n=100_b=-0.04_p=0.1
#
# N1	aoic	stdev
0	-0.595629	0.304294
1	-0.507484	0.321154
2	-0.408147	0.31497
3	-0.307173	0.313279
4	-0.233139	0.316545
5	-0.139278	0.320574
6	-0.0734514	0.312481
7	0.0149021	0.307045
8	0.0594228	0.296041
9	0.132707	0.282743
10	0.214872	0.264632
11	0.288702	0.256514
12	0.327239	0.255107
13	0.395312	0.251247
14	0.438293	0.233176
15	0.477084	0.235106
16	0.539343	0.221339
17	0.574083	0.206929
18	0.620025	0.20664
19	0.653912	0.184393
20	0.673888	0.18623
21	0.713546	0.179874
22	0.753454	0.166995
23	0.767172	0.168545
24	0.813544	0.151076
25	0.81855	0.153148
26	0.845404	0.142405
27	0.863569	0.136694
28	0.893541	0.126578
29	0.913208	0.124555
30	0.918661	0.127137
31	0.946659	0.115193
32	0.958182	0.10683
33	0.973228	0.102732
34	0.988892	0.0979128
35	1.00132	0.0967131
36	1.01091	0.0939241
37	1.02646	0.0847817
38	1.03911	0.0823192
39	1.04738	0.0771576
40	1.05692	0.0758541
41	1.06698	0.0726813
42	1.07707	0.0684561
43	1.08591	0.0618263
44	1.09176	0.0620949
45	1.10255	0.0566665
46	1.10944	0.0556107
47	1.11668	0.0510779
48	1.1268	0.0458946
49	1.13116	0.0457213
50	1.13608	0.0422563
51	1.14411	0.0387031
52	1.14842	0.0372175
53	1.15159	0.0377013
54	1.16008	0.0306322
55	1.16522	0.0300845
56	1.16895	0.029795
57	1.17335	0.0260985
58	1.17837	0.0254861
59	1.18287	0.0224451
60	1.18724	0.0198265
