# static_c=1_k=2_n=100_b=-0.04_p=0
#
# N1	aoic	stdev
0	-0.521907	0.230888
1	-0.434393	0.230583
2	-0.351642	0.234346
3	-0.288374	0.238366
4	-0.206574	0.228141
5	-0.142133	0.227263
6	-0.088896	0.212012
7	-0.0209977	0.215532
8	0.0427236	0.210352
9	0.0869898	0.189923
10	0.153885	0.199431
11	0.211454	0.198055
12	0.265476	0.193602
13	0.305737	0.190189
14	0.350314	0.188098
15	0.395077	0.172673
16	0.444231	0.173463
17	0.488544	0.169372
18	0.521287	0.170423
19	0.566687	0.157998
20	0.586765	0.159219
21	0.626698	0.157732
22	0.651485	0.153243
23	0.67856	0.145764
24	0.71414	0.140652
25	0.746863	0.14166
26	0.778042	0.134519
27	0.796457	0.132857
28	0.817211	0.124955
29	0.837829	0.122403
30	0.86642	0.115673
31	0.886775	0.114769
32	0.90004	0.109672
33	0.920303	0.108059
34	0.937494	0.1078
35	0.961545	0.0976078
36	0.967114	0.100174
37	0.98844	0.090629
38	1.00233	0.087341
39	1.01654	0.0830285
40	1.02232	0.0860995
41	1.03842	0.0804879
42	1.05094	0.0783506
43	1.06449	0.0690791
44	1.07296	0.0684778
45	1.08455	0.0626153
46	1.09017	0.0634038
47	1.10334	0.0588202
48	1.11184	0.0545073
49	1.11901	0.0500024
50	1.12509	0.0507426
51	1.13154	0.0474315
52	1.13776	0.0476331
53	1.14503	0.0427913
54	1.15211	0.0393487
55	1.15927	0.0350211
56	1.16293	0.0354342
57	1.16825	0.0322321
58	1.17449	0.029353
59	1.17866	0.0277526
60	1.18377	0.0251212
