# static_c=1_k=4_n=250_b=-0.06_p=0.5
#
# N1	aoic	stdev
0	-1.01214	0.173075
3	-0.978711	0.257312
6	-0.904656	0.408926
9	-0.830372	0.506798
12	-0.695917	0.645571
15	-0.517455	0.767567
18	-0.27625	0.863677
21	0.0608516	0.89598
24	0.358539	0.837704
27	0.649908	0.678983
30	0.807334	0.522438
33	0.917916	0.350717
36	0.98873	0.171975
39	1.01374	0.0660051
42	1.01917	0.0785771
45	1.03031	0.0247082
48	1.0368	0.020616
51	1.04242	0.0191012
54	1.04748	0.0187672
57	1.05192	0.0176393
60	1.0574	0.0162699
63	1.06353	0.0131122
66	1.06883	0.0112212
69	1.07307	0.0111243
72	1.07721	0.0117274
75	1.08201	0.010266
78	1.08624	0.0106537
81	1.0915	0.00813458
84	1.096	0.00707388
87	1.10037	0.00706939
90	1.10472	0.00577431
93	1.10923	0.00564133
96	1.11334	0.00561132
99	1.11782	0.00381036
102	1.12214	0.00382848
105	1.1262	0.00460189
108	1.13033	0.00441972
111	1.13472	0.00210404
114	1.13889	0.00221031
117	1.14272	0.00318029
120	1.14701	0.00147139
123	1.15101	0.00279531
126	1.15524	0.00140294
129	1.15928	0.00235648
132	1.16318	0.0014135
135	1.16724	0.00130661
138	1.17107	0.00195395
141	1.17508	0.00193668
144	1.1792	0.00187822
147	1.18298	0.00204789
150	1.18691	0.00132503
