# static_c=1_k=4_n=250_b=-0.06_p=0.3
#
# N1	aoic	stdev
0	-1.0206	0.0700248
3	-0.984776	0.131778
6	-0.909174	0.270441
9	-0.799418	0.400684
12	-0.670169	0.49531
15	-0.510829	0.556129
18	-0.200831	0.653014
21	0.0397869	0.653101
24	0.298581	0.613949
27	0.518862	0.516383
30	0.683157	0.390596
33	0.783152	0.279448
36	0.852617	0.214415
39	0.895965	0.144759
42	0.93031	0.109811
45	0.956331	0.0861235
48	0.970499	0.0792102
51	0.988592	0.0719265
54	1.0003	0.0628318
57	1.01443	0.057444
60	1.02649	0.0474804
63	1.03612	0.0433546
66	1.04433	0.0410792
69	1.05257	0.0380691
72	1.0624	0.0316223
75	1.06868	0.03038
78	1.0732	0.0303767
81	1.08019	0.0268891
84	1.08657	0.0250331
87	1.09327	0.0203121
90	1.09898	0.0207544
93	1.10463	0.0169562
96	1.10819	0.0187806
99	1.11436	0.0160339
102	1.11834	0.0144302
105	1.12334	0.0135151
108	1.12873	0.0103949
111	1.13286	0.010625
114	1.13705	0.0108003
117	1.14214	0.0073065
120	1.1466	0.00582118
123	1.15045	0.00627258
126	1.15468	0.00580205
129	1.15882	0.00522636
132	1.1631	0.00369944
135	1.16715	0.00376634
138	1.17104	0.00447201
141	1.17505	0.00411283
144	1.17907	0.00330996
147	1.18309	0.00246644
150	1.18712	0.00109658
