# dynamic_c=1_k=4_n=250_b=-0.1_p=0.3
#
# N1	aoic	stdev
0	-1.05659	0.00012789
3	-1.04631	0.00277729
6	-1.03424	0.00585312
9	-1.01743	0.0650309
12	-1.00206	0.0561299
15	-0.982292	0.0636897
18	-0.951833	0.130194
21	-0.895165	0.249628
24	-0.813232	0.332497
27	-0.682193	0.441897
30	-0.449997	0.597383
33	-0.184264	0.686362
36	0.139711	0.713937
39	0.465634	0.651458
42	0.725272	0.52292
45	0.849015	0.41801
48	0.995365	0.194135
51	1.03294	0.0807757
54	1.04336	0.0328971
57	1.04963	0.00981074
60	1.05475	0.00047897
63	1.05942	0.000508654
66	1.06412	0.000485795
69	1.06874	0.00051507
72	1.07336	0.000505638
75	1.07796	0.000524416
78	1.08255	0.000512459
81	1.08708	0.000497563
84	1.09166	0.000502425
87	1.09612	0.000517734
90	1.10063	0.000525979
93	1.10506	0.000528953
96	1.1095	0.000518649
99	1.11391	0.000526529
102	1.11832	0.000524734
105	1.12267	0.000526386
108	1.12702	0.000508479
111	1.13137	0.00052616
114	1.13566	0.000518131
117	1.13991	0.000500762
120	1.14424	0.000497382
123	1.14843	0.000507465
126	1.15268	0.000501355
129	1.15689	0.000487244
132	1.16108	0.000487462
135	1.16526	0.000488807
138	1.16942	0.000455524
141	1.17356	0.000462193
144	1.17768	0.000461087
147	1.18176	0.000456038
150	1.18588	0.000434803
