# dynamic_c=1_k=4_n=500_b=-0.08_p=0.1
#
# N1	aoic	stdev
0	-1.04753	0.00439554
5	-1.02717	0.0212405
10	-0.98783	0.0411756
15	-0.932457	0.0562293
20	-0.863391	0.0743155
25	-0.791428	0.0836131
30	-0.708115	0.0977068
35	-0.619489	0.116504
40	-0.528347	0.131109
45	-0.416513	0.149827
50	-0.293324	0.168432
55	-0.179216	0.190596
60	-0.0504756	0.205516
65	0.100429	0.203381
70	0.216485	0.21355
75	0.335139	0.193883
80	0.451726	0.193415
85	0.561881	0.178517
90	0.653502	0.156486
95	0.738803	0.139687
100	0.804215	0.127554
105	0.85613	0.108875
110	0.904794	0.0979587
115	0.93768	0.0842445
120	0.972508	0.0711085
125	0.998157	0.0622472
130	1.01645	0.0512369
135	1.03219	0.0467566
140	1.04925	0.0355724
145	1.05842	0.0320557
150	1.06772	0.0278401
155	1.07545	0.0242526
160	1.08431	0.018087
165	1.09019	0.0158508
170	1.0953	0.0143415
175	1.10096	0.0109573
180	1.10543	0.0101586
185	1.10939	0.00961935
190	1.11392	0.00788213
195	1.11793	0.00708145
200	1.12201	0.005789
205	1.126	0.00486155
210	1.12993	0.00384193
215	1.13367	0.00267028
220	1.13733	0.00234164
225	1.14088	0.00228551
230	1.14441	0.00227063
235	1.14802	0.00158644
240	1.15157	0.00116448
245	1.155	0.00157981
250	1.15855	0.000785483
255	1.16204	0.00037088
260	1.16545	0.000663561
265	1.16891	0.000363002
270	1.17232	0.000368347
275	1.17571	0.000366679
280	1.17915	0.000359459
285	1.18249	0.000835544
290	1.1859	0.000350564
295	1.18927	0.000340347
300	1.19261	0.000338629
